date_time,date,time,transmitted,received,packet_loss,minimum,maximum,avg,stddev
2020-11-03 16:12:50,2020-11-03,16:12:50,60,60,0.0,16.338,36.048,356.803,47.066
2020-11-03 16:13:49,2020-11-03,16:13:49,60,60,0.0,16.080,34.912,253.270,42.481
2020-11-03 16:14:49,2020-11-03,16:14:49,60,60,0.0,16.511,36.803,346.413,55.450
2020-11-03 16:15:48,2020-11-03,16:15:48,60,60,0.0,16.703,33.815,237.385,31.883
2020-11-03 16:16:47,2020-11-03,16:16:47,60,60,0.0,17.040,38.108,259.565,37.360
2020-11-03 16:17:46,2020-11-03,16:17:46,60,60,0.0,16.869,37.920,321.683,45.096
2020-11-03 16:18:46,2020-11-03,16:18:46,60,60,0.0,16.797,45.099,506.122,73.772
2020-11-03 16:19:45,2020-11-03,16:19:45,60,60,0.0,15.934,41.905,557.146,75.828
2020-11-03 16:20:44,2020-11-03,16:20:44,60,60,0.0,17.247,35.833,128.275,26.636
2020-11-03 16:21:43,2020-11-03,16:21:43,60,60,0.0,16.956,31.708,260.727,38.794
2020-11-03 16:22:43,2020-11-03,16:22:43,60,60,0.0,16.633,39.860,465.256,66.466
2020-11-03 16:23:42,2020-11-03,16:23:42,60,60,0.0,16.715,31.356,143.980,25.825
2020-11-03 16:24:41,2020-11-03,16:24:41,60,60,0.0,16.151,32.872,216.847,36.289
2020-11-03 16:25:40,2020-11-03,16:25:40,60,60,0.0,16.113,33.060,161.806,30.000
2020-11-03 16:26:39,2020-11-03,16:26:39,60,59,1.7,16.543,41.439,291.891,50.424
2020-11-03 16:27:41,2020-11-03,16:27:41,60,59,1.7,16.834,28.072,169.229,26.254
2020-11-03 16:28:42,2020-11-03,16:28:42,60,60,0.0,16.435,32.928,209.141,36.467
2020-11-03 16:29:41,2020-11-03,16:29:41,60,60,0.0,16.837,33.567,218.524,36.933
2020-11-03 16:30:40,2020-11-03,16:30:40,60,60,0.0,15.887,41.748,438.865,68.374
2020-11-03 16:31:40,2020-11-03,16:31:40,60,60,0.0,16.563,34.275,362.524,52.246
2020-11-03 16:32:39,2020-11-03,16:32:39,60,59,1.7,16.748,31.705,156.811,29.199
2020-11-03 16:33:40,2020-11-03,16:33:40,60,60,0.0,16.709,32.478,180.195,33.002
2020-11-03 16:34:40,2020-11-03,16:34:40,60,60,0.0,16.823,40.161,230.322,45.110
2020-11-03 16:35:39,2020-11-03,16:35:39,60,60,0.0,16.371,26.870,212.074,31.917
2020-11-03 16:36:38,2020-11-03,16:36:38,60,60,0.0,16.749,30.307,157.251,23.292
2020-11-03 16:37:38,2020-11-03,16:37:38,60,60,0.0,16.384,38.446,376.086,56.099
2020-11-03 16:38:37,2020-11-03,16:38:37,60,60,0.0,16.994,42.491,209.160,43.051
2020-11-03 16:39:36,2020-11-03,16:39:36,60,60,0.0,16.113,40.543,399.518,62.846
2020-11-03 16:40:35,2020-11-03,16:40:35,60,60,0.0,16.262,43.938,374.443,71.810
2020-11-03 16:41:34,2020-11-03,16:41:34,60,60,0.0,16.485,34.742,270.362,40.848
2020-11-03 16:42:34,2020-11-03,16:42:34,60,60,0.0,16.608,34.316,279.857,51.989
2020-11-03 16:43:33,2020-11-03,16:43:33,60,60,0.0,16.640,44.536,632.337,92.052
2020-11-03 16:44:32,2020-11-03,16:44:32,60,60,0.0,15.958,31.898,193.691,31.484
2020-11-03 16:45:31,2020-11-03,16:45:31,60,60,0.0,16.218,34.976,277.770,41.877
2020-11-03 16:46:30,2020-11-03,16:46:30,60,60,0.0,16.445,24.559,155.421,20.870
2020-11-03 16:47:30,2020-11-03,16:47:30,60,60,0.0,16.362,36.602,145.030,31.355
2020-11-03 16:48:29,2020-11-03,16:48:29,60,60,0.0,16.428,39.964,217.071,43.388
2020-11-03 16:49:28,2020-11-03,16:49:28,60,60,0.0,16.292,28.822,173.930,24.504
2020-11-03 16:50:27,2020-11-03,16:50:27,60,60,0.0,16.199,44.572,441.400,67.194
2020-11-03 16:51:27,2020-11-03,16:51:27,60,60,0.0,16.748,32.061,207.907,29.288
2020-11-03 16:52:26,2020-11-03,16:52:26,60,60,0.0,16.299,33.502,220.864,32.427
2020-11-03 16:53:25,2020-11-03,16:53:25,60,60,0.0,17.194,31.564,143.319,26.121
2020-11-03 16:54:24,2020-11-03,16:54:24,60,60,0.0,17.118,35.542,249.176,37.632
2020-11-03 16:55:24,2020-11-03,16:55:24,60,58,3.3,16.512,34.019,201.405,38.179
2020-11-03 16:56:25,2020-11-03,16:56:25,60,60,0.0,17.049,27.984,129.412,20.350
2020-11-03 16:57:24,2020-11-03,16:57:24,60,60,0.0,16.090,22.605,49.604,6.806
2020-11-03 16:58:23,2020-11-03,16:58:23,60,59,1.7,16.311,24.019,90.676,14.433
2020-11-03 16:59:25,2020-11-03,16:59:25,60,57,5.0,14.301,37.465,255.782,47.949
2020-11-03 23:00:14,2020-11-03,23:00:14,60,58,3.3,13.963,46.348,496.083,87.874
2020-11-03 23:04:23,2020-11-03,23:04:23,60,59,1.7,13.580,40.385,498.559,72.446
2020-11-03 23:05:24,2020-11-03,23:05:24,60,53,11.7,13.934,62.732,371.158,84.378
2020-11-04 08:21:43,2020-11-04,08:21:43,60,58,3.3,13.707,381.976,5740.037,1113.736
2020-11-04 09:02:02,2020-11-04,09:02:02,60,60,0.0,13.664,33.296,328.832,49.721
2020-11-04 09:03:00,2020-11-04,09:03:00,60,60,0.0,14.044,23.472,140.289,21.130
2020-11-04 09:04:00,2020-11-04,09:04:00,60,60,0.0,14.257,44.958,297.089,65.157
2020-11-04 09:04:59,2020-11-04,09:04:59,60,60,0.0,13.336,31.600,278.554,47.917
2020-11-04 09:05:58,2020-11-04,09:05:58,60,60,0.0,13.673,20.199,84.918,12.726
2020-11-04 09:06:57,2020-11-04,09:06:57,60,60,0.0,13.721,22.036,148.458,21.287
2020-11-04 09:07:57,2020-11-04,09:07:57,60,60,0.0,13.705,26.670,148.096,29.537
2020-11-04 09:08:56,2020-11-04,09:08:56,60,60,0.0,13.764,26.852,175.441,33.110
2020-11-04 09:09:55,2020-11-04,09:09:55,60,60,0.0,13.880,22.446,221.234,28.513
